full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff,nba_player_id,id_ambiguous,war,war_rate82,dollar_value
Nikola Jokic,9.911578049204703,7.718262445468834,2.1933156037358676,7.876776650823637,-0.574543784411598,0.4160295790567957,0.0896398853119047,-0.34907755606865626,2.4527532744926193,0.0,1.9451615130691606,3.229730682343077,24291.631875547137,,True,,,
Victor Wembanyama,8.930168067842528,2.0896030288466934,6.840565038995835,2.077152426235439,-0.5608513403487381,0.5733019429599927,6.188793249974015,-0.39064791231540497,1.0424197013372247,0.0,0.6642223916330744,4.043651479163786,15496.853878591788,,True,,,
Shai Gilgeous-Alexander,8.436713826345002,7.241744996758186,1.1949688295868164,5.6681347777156885,2.3184151264379165,-0.7448049073954193,1.117205731178138,0.8295904030848276,-0.7518273046761491,0.0,1.6513733174511755,3.1942432957184494,24834.271216047076,1628983,False,11.981,14.663,35943073.0
Kawhi Leonard,7.514735538459751,5.796444465713862,1.7182910727458887,3.8697201950716824,1.8794307492001376,0.047293521442041964,0.8597628427432376,0.6488205826079794,0.20970764739467168,0.0,2.7852525006448308,4.116379021819479,14953.981480309521,202695,False,9.85,12.426,29548752.0
Giannis Antetokounmpo,6.532773443429644,4.2852611215026,2.2475123219270436,3.598589030684492,0.618962068260184,0.06771002255792408,1.6735677361474794,-0.893995176129342,1.4679397619089063,0.0,1.2606166765976723,3.9956526918099327,15871.35082951808,,True,,,
Chet Holmgren,5.207362177600683,1.2397658337439152,3.9675963438567683,1.4921588130898231,-0.3187465686085329,0.06635358926262508,4.613098382086615,-0.8202803311377648,0.1747782929079182,0.0,-0.8978950175757543,3.954887063904802,16200.157045476903,1631096,False,7.609,9.176,22827211.0
Jarrett Allen,4.801524513198531,1.688280436085066,3.1132440771134657,1.7247535454650753,-0.7425660006619936,0.7060928912819844,2.4374478046810983,0.33071288506731067,0.3450833873650565,0.0,0.6393231630523579,3.632231987113153,19206.150030598445,1628386,False,4.485,6.687,13455522.0
Joel Embiid,4.7441933854727,2.592783059469779,2.151410326002921,4.4200255836375355,-0.24413428002933493,-1.5831082441384219,2.588622561361622,-0.8681071975087915,0.43089496215009016,0.0,-2.264454759526458,4.6037173517795855,11955.566791422738,203954,False,2.443,5.271,7327966.0
Bam Adebayo,4.407268460413225,0.6654909159658148,3.7417775444474106,0.4257536637893373,0.3055518578907235,-0.06581460571424602,1.77419062073637,0.31836934580395415,1.6492175779070866,0.0,2.207324175887518,3.385801873741215,22103.669994355776,1628389,False,8.884,9.979,26651203.0
Neemias Queta,4.3888077759331345,1.0122452357681917,3.3765625401649433,-0.23919667663024302,-0.19743103826330244,1.448872950661737,3.551924216758752,-0.15999746564461625,-0.015364210949192145,0.0,1.0760802358046264,5.2698631981716755,9124.081849984086,1629674,False,7.46,8.049,22379922.0
Luka Doncic,4.327099281867776,3.916421237462719,0.4106780444050564,3.834034885875881,1.3243227557465154,-1.2419364041596777,-0.1385441072181569,-0.34567904543278005,0.8949011970559934,0.0,0.631608503210051,3.5100990066034807,20565.956263439533,,True,,,
Steven Adams,4.321461235568343,1.561644402878295,2.759816832690048,-2.070733578117661,-0.6367660847109852,4.269144065706941,2.979701053342229,-0.8547031041935692,0.6348188835413882,0.0,3.412493760343775,6.247072497781141,6492.955300550779,203500,False,1.158,3.063,3473646.0
Anthony Davis,4.248681445011496,1.016169654222603,3.2325117907888923,0.8883591003714824,0.06504736019874412,0.06276319365237665,2.295757677474195,-0.21338927713566214,1.1501433904503595,0.0,1.0645646671658182,4.481944084262544,12614.103258077565,203076,False,0.628,2.575,1884093.0
Devin Booker,4.1272286141496,4.144166221467942,-0.016937607318341485,2.9466386620989446,0.7344425396870056,0.46308501968199145,0.4487304265297344,0.11010085937011993,-0.5757688932181958,0.0,0.7318595255209212,3.4657567424377533,21095.589672369133,1626164,False,6.861,8.79,20581774.0
Franz Wagner,4.1029232568819465,1.5043166096326779,2.5986066472492686,0.8764761266931222,0.6359142318641142,-0.008073748924558671,0.888449681931478,0.8715352530360387,0.8386217122817518,0.0,2.337997448257346,4.030086843746079,15601.2465980329,1630532,False,1.603,3.9829999999999997,4809079.0
Isaiah Hartenstein,3.9773793421526493,0.8358768216174255,3.141502520535224,-1.23390583165588,-0.6995914661231549,2.7693741193964603,2.5885542802495802,-0.1939006994219552,0.746848939707599,0.0,2.6227308935589493,4.068255668325332,15309.901474605114,1628392,False,2.566,4.477,7697695.0
Ajay Mitchell,3.871030331218232,1.6769980830127493,2.194032248205483,2.073703174806992,1.1696500470042384,-1.5663551387984813,0.3359016172748259,1.3391921483005336,0.5189384826301234,0.0,1.461425539136414,5.759006506360475,7640.021700528598,1642349,False,3.882,5.684,11645148.0
Jimmy Butler,3.859524674937425,3.1695280308165303,0.6899966441208947,1.7777762221999585,0.9580884696760691,0.4336633389405028,-0.3854392291600185,0.9274155741129182,0.14802029916799503,0.0,2.467187681897485,4.090385857237665,15144.642492811488,202710,False,2.117,4.567,6349781.0
Ausar Thompson,3.8390835226948394,-0.26776250395452683,4.106846026649366,-1.137053470160051,-0.29265457896583247,1.1619455451713567,2.185557144241108,1.8511848639131967,0.07010401849506155,0.0,2.7905798486137825,4.328769483463477,13522.618305895774,,True,,,
Donovan Mitchell,3.727383961057555,3.5547837963543656,0.17260016470318928,1.5487765167500311,1.7486883759102125,0.257318903694122,-0.6072590415016867,0.7421445637403303,0.0377146424645457,0.0,2.785866485809211,3.337368596722136,22749.904657070052,1628378,False,7.415,8.812,22245333.0
Moussa Diabate,3.6833021133529313,2.2417256511130694,1.441576462239862,-2.1419127085452025,-0.14778826685776492,4.531426626516037,0.7881318390469538,0.49686878680651547,0.15657583638639272,0.0,5.03708298285118,5.285933693908723,9068.684819245678,1631217,False,6.282,7.154999999999999,18846351.0
Kyrie Irving,3.5342065463838357,3.583666509907339,-0.049459963523503236,1.6801805537015733,1.2510030863182369,0.6524828698875287,0.6772315173313266,0.10333842801430132,-0.8300299088691311,0.0,1.1767944753509356,4.916985565332738,10480.725368551142,202681,False,,,
Dereck Lively II,3.500273591665769,0.09998432450295147,3.400289267162817,-1.0335471858950913,-0.6044805783281887,1.7380120887262314,3.036035167063492,-0.003991164146232323,0.36824526424555715,0.0,1.4977856104973675,7.469737387783802,4541.265152932126,1641726,False,0.036,0.421,107780.0
Lauri Markkanen,3.479147290121584,2.3201187294337355,1.159028560687848,1.0683231705159686,0.19036708100084815,1.0614284779169185,0.9009642263648268,-0.4403390309356761,0.6984033652586974,0.0,1.509859893240788,4.3455124312853854,13418.569087104781,1628374,False,2.688,5.248,8063357.0
Zach Edey,3.4464298950852745,0.7205434453914275,2.725886449693847,-1.2075405316682346,-1.0240041941914078,2.9520881712510696,2.703095896458424,-0.8621782345319997,0.8849687877674225,0.0,1.9508745302950845,7.607594997384587,4378.206426651062,1641744,False,0.137,1.021,410823.0
Stephen Curry,3.2252255041464286,4.43751108618815,-1.212285582041721,4.351274750173158,0.10149781493695767,-0.01526147892196636,-1.5604873233457737,0.08002246064646523,0.2681792806575872,0.0,0.43443807731904377,3.821332295629035,17352.35596383677,201939,False,2.452,4.677,7357245.0
Jalen Brunson,3.1914550834143567,4.161452073631979,-0.9699969902176225,2.965065151583592,1.9774435204515493,-0.7810565984031623,-0.9709637340279464,-0.08705494762169792,0.08802169143202183,0.0,1.1973536658587107,3.1196626442326485,26035.917044182337,1628973,False,8.271,9.291,24812573.0
