full_name,net,ORAPM,DRAPM,oTS,oTOV,oSC,dTS,dTOV,dSC,RESID,PVAL,ci95,weff
Oscar Tshiebwe,0.5041367335412067,0.544058158125956,-0.03992142458474937,-2.2771034563682604,-0.0995011177881597,2.920662732282376,-0.15793283730713847,-0.013763302237326698,0.1317747149597158,0.0,2.9391730272166057,4.302064492479691,6881.60532401598
Amari Williams,0.20414645173889467,-1.7792507665082455,1.9833972182471402,-1.7468115044666959,-0.35352607596455377,0.321086813923004,1.737009261052521,0.3733626800868174,-0.12697472289219794,0.0,0.21394869515306966,5.445291656226997,3148.229011568731
Harrison Ingram,-0.021643829198357944,-0.7080973752693798,0.6864535460710218,-2.1889468495418516,0.6649885315464052,0.8158609427260666,0.2807365325882294,0.45800622382681516,-0.0522892103440228,0.0,1.8865664877552641,4.012686318354415,9252.220743002243
E.J. Liddell,-0.7998853048855628,-1.5479460967147112,0.7480607918291484,-1.8403687434313254,0.1020757370707602,0.1903469096458541,1.2928326822041578,-0.4257056420094501,-0.1190662483655593,0.0,-0.25234924365839506,4.307552112304264,6848.711624370755
Damion Baugh,-0.8041771561728922,-1.201558034484171,0.3973808783112788,-1.9433866669544109,0.011954930751339243,0.7298737017189008,-0.04788436833489845,0.5087919904434557,-0.06352674379727843,0.0,1.1870938791164174,4.01880225827602,9179.95046581273
Moses Brown,-0.9398624045719715,-0.1918855532065198,-0.7479768513654517,-2.131660720066962,-0.11248497733417803,2.05226014419462,1.2246472566815987,-1.6456115423683517,-0.3270125656786987,0.0,-0.03284894118660825,4.321016108067282,6763.713442111337
Orlando Robinson,-0.9853767458390843,-2.0703518011222437,1.0849750552831594,-2.0183851347736703,-0.10653789570822683,0.05457122935965342,1.1059884314034538,0.11051620819014546,-0.1315295843104397,0.0,-0.07298004246886766,5.052085199001443,3939.4512644913966
N'Faly Dante,-0.9937084381807937,-1.3221739210201477,0.32846548283935406,-1.9986166207778133,-0.3559532747750607,1.0323959745327265,0.4231361060753799,-0.05507438543745418,-0.039596237798571604,0.0,0.5817720765216401,5.520623610991187,3025.6423382164157
Adama Sanogo,-1.0038822496451787,-1.2197806721225755,0.21589842247739674,-2.3563098266241504,-0.16928363595069576,1.3058127904522707,-0.006242817707891479,0.3646370271517964,-0.1424957869665082,0.0,1.3586703946868632,5.369703930225282,3277.221460523615
Malevy Leons,-1.019179957915654,-2.097794981498992,1.0786150235833378,-2.0667656969985355,-0.15514359925932492,0.12411431475886858,0.5049906813520151,0.47369280306845934,0.0999315391628634,0.0,0.5425950577308665,4.25947973978554,7160.031895335483
Jaylen Martin,-1.1061902578972966,-1.2403494123947556,0.134159154497459,-2.1940615128457837,0.429682174717802,0.5240299257332259,0.3756023090749918,-0.1126174843931205,-0.12882567018441235,0.0,0.7122689458734951,4.283910465514743,7001.389387820031
Malik Williams,-1.107087297335098,-1.7701109437274796,0.6630236463923815,-2.3903498312687548,0.03344365645266653,0.5867952310886085,0.963962872934386,-0.05455482042923857,-0.24638440611276596,0.0,0.3192996609992706,4.010852812616435,9264.531237913525
Andersson Garcia,-1.1375923042562233,-1.3312225177893322,0.19363021353310894,-2.04920127051755,0.19521389573744258,0.5227648569907756,-0.6633696490614915,0.7428141125378904,0.11418575005671006,0.0,1.5749786153228187,5.094775661849351,3830.1616887726022
Pedro Bradshaw,-1.1403155465470407,-1.1286902180974094,-0.011625328449631309,-2.324173721142329,0.2760504265303105,0.9194330765146093,-0.0287469271964248,0.13762266445199603,-0.12050106570520254,0.0,1.2126051017917132,5.0515043825199255,3938.7571047469373
Wendell Moore Jr.,-1.175600299815141,-1.841563409206396,0.6659631093912551,-2.182464942036276,0.1253864085521016,0.2155151242777784,-0.27239110259299426,1.0090773568903468,-0.07072314490609741,0.0,1.2792557448141295,4.605121193600125,5341.954455357474
ID_1631474,-1.1800835220869925,-1.0182382342709353,-0.16184528781605734,-2.023101594316995,0.7487106575537593,0.2561527024923005,0.5646979799989219,-0.6217051809254945,-0.10483808688948469,0.0,0.2783200922310807,3.899294363767935,10617.474457267681
Jesse Edwards,-1.2063975031579903,-1.9459519660955427,0.7395544629375522,-2.30773031322795,-0.3783723226379286,0.740150669770336,0.710499045355438,0.10064022170699582,-0.07158480412488152,0.0,0.3908337647145217,6.402550934215644,2027.2010610267566
Chris Mañon,-1.2171228724361183,-2.180024627102509,0.9629017546663907,-1.6354799083236864,0.021143913329376735,-0.5656886321081992,0.5833217896247337,0.4633742594236044,-0.08379429438194738,0.0,-0.1649647537371655,4.69898997776651,4985.987262417995
Neemias Queta,-1.2428862719802525,-2.043368582036062,0.8004823100558095,-1.946519324712903,0.0025563983225308784,-0.09940565564568998,0.6620460348181646,0.1670816060592159,-0.02864533082157092,0.0,0.04158701791448588,6.279935283548068,2130.4138760546257
Braxton Key,-1.300390714564385,-2.7078055411769357,1.4074148266125508,-1.9960044202036364,0.17182283451192537,-0.883623955485225,-0.24845879010766947,1.6047337516855862,0.051139865034634,0.0,0.9440724957469205,4.348370394398647,6595.449218302489
Ethan Thompson,-1.3058316488043198,-1.793961775919056,0.4881301271147363,-1.9603033442970865,0.08692175498925386,0.07941981338877663,0.1833368793058645,0.3091894401807153,-0.0043961923718435075,0.0,0.4711348161869023,3.8353597028605297,11546.37265163671
Elijah Harkless,-1.3129383871286069,-1.3658945324976834,0.052956145369076515,-1.6568189771412491,0.2504592330756468,0.040465211567918935,-0.6772854103896417,0.7585232994648787,-0.028281743706160475,0.0,1.021166000402284,4.699630230316016,4988.194616469189
